Model,RMSE,MAE,R2,source_file,source_dir
GradientBoostingRegressor,192.54624058864096,,,leaderboard_lazypredict.csv,
LGBMRegressor,192.56459440138147,,,leaderboard_lazypredict.csv,
HistGradientBoostingRegressor,192.63805922106795,,,leaderboard_lazypredict.csv,
MLPRegressor,194.69363955006335,,,leaderboard_lazypredict.csv,
XGBRegressor,197.96468277195305,,,leaderboard_lazypredict.csv,
ElasticNetCV,198.5383405195329,,,leaderboard_lazypredict.csv,
Lasso,198.6595411281573,,,leaderboard_lazypredict.csv,
LassoLars,198.6595411281573,,,leaderboard_lazypredict.csv,
LassoCV,198.7489190222176,,,leaderboard_lazypredict.csv,
BayesianRidge,198.75050117861335,,,leaderboard_lazypredict.csv,
RidgeCV,198.75963694873772,,,leaderboard_lazypredict.csv,
Ridge,198.76183140884973,,,leaderboard_lazypredict.csv,
LinearRegression,198.7620868966212,,,leaderboard_lazypredict.csv,
TransformedTargetRegressor,198.7620868966212,,,leaderboard_lazypredict.csv,
LarsCV,198.7620967230674,,,leaderboard_lazypredict.csv,
LassoLarsCV,198.7620967230674,,,leaderboard_lazypredict.csv,
LassoLarsIC,198.7620967230674,,,leaderboard_lazypredict.csv,
Lars,198.7620967230674,,,leaderboard_lazypredict.csv,
Seu modelo (PyTorch),199.04053057731736,150.60739135742188,0.237716794013977,leaderboard_airbnbprediction.csv,
PoissonRegressor,199.16409442491997,,,leaderboard_lazypredict.csv,
ElasticNet,199.31683124801577,,,leaderboard_lazypredict.csv,
SGDRegressor,199.4333028911319,,,leaderboard_lazypredict.csv,
OrthogonalMatchingPursuitCV,200.41017509410543,,,leaderboard_lazypredict.csv,
TweedieRegressor,201.06492104229093,,,leaderboard_lazypredict.csv,
GammaRegressor,201.2035249242313,,,leaderboard_lazypredict.csv,
HuberRegressor,201.5246126880148,,,leaderboard_lazypredict.csv,
NuSVR,202.0825569236774,,,leaderboard_lazypredict.csv,
LinearSVR,204.7636036208588,,,leaderboard_lazypredict.csv,
PassiveAggressiveRegressor,204.93266367652672,,,leaderboard_lazypredict.csv,
RandomForestRegressor,205.5841415265423,,,leaderboard_lazypredict.csv,
SVR,206.193609802397,,,leaderboard_lazypredict.csv,
AdaBoostRegressor,207.8222905373132,,,leaderboard_lazypredict.csv,
OrthogonalMatchingPursuit,208.55963438247105,,,leaderboard_lazypredict.csv,
KNeighborsRegressor,209.41560240643489,,,leaderboard_lazypredict.csv,
BaggingRegressor,211.86280595712412,,,leaderboard_lazypredict.csv,
ExtraTreesRegressor,216.2348039478528,,,leaderboard_lazypredict.csv,
RANSACRegressor,225.1088191714176,,,leaderboard_lazypredict.csv,
DummyRegressor,227.97519053616335,,,leaderboard_lazypredict.csv,
QuantileRegressor,238.48953048913305,,,leaderboard_lazypredict.csv,
ExtraTreeRegressor,262.2525435905507,,,leaderboard_lazypredict.csv,
DecisionTreeRegressor,264.2853439452653,,,leaderboard_lazypredict.csv,
KernelRidge,424.447048375884,,,leaderboard_lazypredict.csv,
GaussianProcessRegressor,73575.70094608574,,,leaderboard_lazypredict.csv,
